seed,best_loss,param_c_kAQ,param_c_kAP,param_c_kQA,param_c_kMyo,param_c_kPQ,param_c_kPT,param_c_kPSC,param_c_kTM
0,11.30969691,0.7487114852,22.30168405,33.86813356,127.0735024,83.82823633,3.319234268,5.102333181,0.5720732919
1,10.0550958,6.44E-05,0.3371098512,0.1811431774,2128.160185,3.563212211,8.056784852,8.854453155,0.3271230558
2,11.28978862,0.007706832793,25.4988261,31.46499274,174.6505471,93.12632538,3.455466563,4.823709269,0.5097263713
3,6.520543326,0.2179493708,0.1618168122,0.1459235389,578.0734837,0.5673719055,3.220571878,3.68913215,0.4068583526
4,6.516115256,0.189323959,0.1702084474,0.1162537218,897.4900531,0.5927220767,3.26797801,3.644479422,0.3888355484
5,10.8528199,40.0285879,0.2347957674,44.5957367,230.4256892,0.7784212557,3.080480707,4.012477297,0.5336253149
6,11.30748898,0.0737072692,13.19422967,17.98894832,148.019046,50.54864026,3.455971142,5.069403009,0.5426546621
7,25.49564147,0.06755495645,0.3848798866,0.3105009723,10.07885942,9.628316534,17.60562853,2.472386938,0.3981532226
8,11.40128839,1.53437607,3.901117038,6.384034428,191.7275781,13.34100542,3.184880151,4.325094868,0.4728523849
9,11.40786848,2.302094559,2.817816733,6.112807836,188.063065,10.11445551,3.312534357,4.527476779,0.481342615
10,12.00888848,5.757306135,3.66527006,8.364198674,1957.616096,12.5551091,3.586184634,3.985165078,0.3791563818
11,6.565974665,0.1728926349,0.1827143822,0.1110828279,2194.127656,0.6506054078,3.308365581,3.605799409,0.3718712784
12,11.40200704,8.039823625,3.18445169,14.45483942,166.0922286,12.72573364,3.647242585,5.159588776,0.518541051
13,11.27439753,19.94043997,15.19174221,49.27003333,134.8748277,53.84073409,3.144905802,4.744499862,0.5525249187
14,11.37457585,8.298549692,2.593790537,13.70916757,169.8981632,9.722270559,3.417136563,4.799623492,0.5055543692
15,6.573912159,0.177520744,0.1865737687,0.109878168,2548.001457,0.6274695991,3.232228668,3.504074966,0.3683068663
16,27.1703771,0.1944188449,0.891925378,22.88874908,384.4965961,7.483265486,8.402932601,7.603636,0.3690461294
17,10.85702479,32.11036311,0.2934170553,35.60665072,238.5224169,1.071886024,3.301205456,4.294282483,0.506553681
18,6.527897834,0.2211359208,0.158468836,0.1441503189,512.2509148,0.5461666809,3.18708669,3.677415498,0.4112458025
19,25.07934617,0.001322674298,0.3920251666,0.1533652,7.942428273,47.09088765,27.21609043,0.826617521,1.191054276
20,11.27163687,20.44166304,16.7591486,46.2306011,166.1858921,59.36742381,3.320065243,4.690368287,0.5090565408
21,6.520508823,0.1898135381,0.1719569331,0.1296687678,601.3962003,0.5918418063,3.140076593,3.585936837,0.3954676079
22,11.950788,90.68527736,3.984982633,87.64142834,926.968267,15.12209797,4.030923892,4.576639574,0.406342526
23,6.51449817,0.209453563,0.1689005136,0.1307375239,672.4077751,0.5592461577,3.161757583,3.574731479,0.3966767842
24,12.44356184,0.01340139078,5.165010864,6.783577409,167.5282891,31.73132454,5.553866069,7.780267098,0.5312026367
25,6.520541985,0.1967028196,0.165406358,0.132623796,524.6939514,0.5777295344,3.14745118,3.630704776,0.4024578946
26,11.3620831,7.551057649,3.379214656,13.09972309,182.9715244,12.29168307,3.401224888,4.678201497,0.4878607964
27,12.18388882,46.96368081,0.1768337385,46.7029141,638.3878265,0.9554916224,4.987787923,5.728709133,0.5014494827
28,11.2889668,19.9407902,19.92318645,48.68245053,178.1229531,72.15600536,3.438607943,4.76762216,0.5011432834
29,11.29958128,8.048322117,6.844958213,18.85035205,164.460565,24.42676497,3.295442364,4.670693119,0.5113762218
30,6.533330545,0.2015162943,0.1625250252,0.1193183195,1012.278539,0.5899884978,3.446379129,3.819050187,0.394537657
31,12.71969085,0.001679266863,0.3260013702,0.1675134611,435.7586603,10.22141401,21.47387352,24.43217683,0.2783773627
32,11.51702092,0.003661685325,23.80474954,27.70091348,208.4197788,100.5428191,4.09063402,5.475004089,0.4909187943
33,10.8445176,3.27E-05,0.3695229077,0.2216682002,614.0920281,4.61039588,9.222784696,10.52733019,0.3204655109
34,6.582270017,0.2198511999,0.1710409808,0.1768600492,598.1072922,0.6425400246,3.228405851,3.726970983,0.4035921764
